name,property_type,price,security_deposit,cleaning_fee,extra_people_fee,guests_included,minimum_nights,cancellation_policy,accommodates,bedrooms,beds,bed_type,bathrooms,country,number_of_reviews,review_scores_rating
Private Room in Bushwick,Apartment,40.0,0.0,0.0,0.0,1.0,14,flexible,1,1.0,1.0,Real Bed,1.5,United States,1,100.0
Be Happy in Porto,Loft,30.0,0.0,10.0,0.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Portugal,178,97.0
Ribeira Charming Duplex,House,80.0,200.0,35.0,15.0,6.0,2,moderate,8,3.0,5.0,Real Bed,1.0,Portugal,51,89.0
New York City - Upper West Side Apt,Apartment,135.0,0.0,135.0,0.0,1.0,12,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,70,94.0
Apt Linda Vista Lagoa - Rio,Apartment,701.0,1000.0,250.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,2.0,Brazil,0,
"Soho Cozy, Spacious and Convenient",Apartment,699.0,0.0,0.0,0.0,1.0,4,flexible,3,1.0,2.0,Real Bed,1.0,Hong Kong,3,100.0
Modern Spacious 1 Bedroom Loft,Apartment,50.0,0.0,0.0,31.0,1.0,1,flexible,4,1.0,2.0,Real Bed,1.0,Canada,0,
Copacabana Apartment Posto 6,Apartment,119.0,600.0,150.0,40.0,3.0,3,strict_14_with_grace_period,4,1.0,3.0,Real Bed,2.0,Brazil,70,98.0
Horto flat with small garden,Apartment,317.0,0.0,187.0,0.0,1.0,2,flexible,4,1.0,2.0,Real Bed,1.0,Brazil,0,
Ocean View Waikiki Marina w/prkg,Condominium,115.0,0.0,100.0,0.0,1.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,96,84.0
Double Room en-suite (307),Apartment,361.0,0.0,0.0,130.0,2.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,0,
Ligne verte - à 15 min de métro du centre ville.,Apartment,43.0,0.0,0.0,12.0,1.0,2,moderate,2,0.0,1.0,Real Bed,1.0,Canada,0,
3 chambres au coeur du Plateau,Apartment,140.0,0.0,0.0,0.0,1.0,1,flexible,6,3.0,3.0,Real Bed,1.0,Canada,0,
Catete's Colonial Big Hause Room B,House,250.0,0.0,0.0,40.0,4.0,2,strict_14_with_grace_period,8,1.0,8.0,Real Bed,4.0,Brazil,1,80.0
Charming Flat in Downtown Moda,House,527.0,0.0,211.0,211.0,1.0,2,flexible,6,2.0,6.0,Real Bed,1.0,Turkey,1,100.0
Deluxe Loft Suite,Apartment,205.0,0.0,0.0,0.0,1.0,3,strict_14_with_grace_period,4,0.0,2.0,Real Bed,1.0,United States,5,88.0
Nice room in Barcelona Center,Apartment,50.0,100.0,10.0,0.0,1.0,1,flexible,2,1.0,2.0,Real Bed,1.0,Spain,0,
Ótimo Apto proximo Parque Olimpico,Apartment,858.0,4476.0,112.0,75.0,1.0,15,strict_14_with_grace_period,5,2.0,2.0,Real Bed,2.0,Brazil,0,
Apartamento zona sul do RJ,Apartment,933.0,0.0,0.0,0.0,1.0,1,flexible,5,3.0,3.0,Real Bed,1.5,Brazil,0,
Sydney Hyde Park City Apartment (checkin from 6am),Apartment,185.0,800.0,120.0,0.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Australia,109,100.0
